data-hora,id,conteudo,candidato,tweet_limpo
2022-07-31 00:00:29+00:00,1553531005788717073,"@reinaldoazevedo Q moral vc tem p/ falar s/ racismo se negou o crime qdo a vítima era um iMundo aluno da USP só pq ele foi defendido pelo petista Frei Davi? 

Vc teve a cara d pau de desdizer o vídeo q postou. Lembra? Foi aí q deixei de te seguir em tudo. Em 2012.😔 Ñ tem nada a ver com Bolsonaro",bolsonaro, q moral vc tem p/ falar s/ racismo se negou o crime qdo a vítima era um imundo aluno da usp só pq ele foi defendido pelo petista frei davi? vc teve a cara d pau de desdizer o vídeo q postou. lembra? foi aí q deixei de te seguir em tudo. em 2012.😔 ñ tem nada a ver com bolsonaro
2022-07-31 00:00:29+00:00,1553531004828147714,"Amigos patriotas, estou começando aqui no Red Bird e quero participar nessa corrente a favor do nosso capitão e Eterno Presidente Bolsonaro.",bolsonaro,"amigos patriotas, estou começando aqui no red bird e quero participar nessa corrente a favor do nosso capitão e eterno presidente bolsonaro."
2022-07-31 00:00:28+00:00,1553530999895621632,"@GilneiBrun Obrigada Gilnei por seguir meu perfil exclusivo de apoio a Bolsonaro.
Seguindo patriota.
#CapitaoNoPrimeiroTurno",bolsonaro, obrigada gilnei por seguir meu perfil exclusivo de apoio a bolsonaro.seguindo patriota.
2022-07-31 00:00:28+00:00,1553530999648182272,Foi em Portugal m se fosse no Brasil ia dizer que era eleitor de @jairbolsonaro . #Esclarecendo que eu não sou racista e acho horrível alguém ser . https://t.co/TL8ETdL7J7,bolsonaro,foi em portugal m se fosse no brasil ia dizer que era eleitor de  .  que eu não sou racista e acho horrível alguém ser . 
2022-07-31 00:00:28+00:00,1553530998947815425,@delegadoramagem @jairbolsonaro https://t.co/fblKOvDYlU,bolsonaro,  
2022-07-31 00:00:27+00:00,1553530995286183936,@LuizOrlandoFre1 @delegadoramagem @jairbolsonaro 👍,bolsonaro,   👍
2022-07-31 00:00:27+00:00,1553530994879234048,"Vc sabia? Ex-esposa de Bolsonaro, Rogéria Bolsonaro, mãe dos três filhos mais velhos, Eduardo, Flávio e Carlos, ainda quando era casada com Jair Bolsonaro e vereadora, comprou um imóvel avaliado em R$600 mil em dinheiro vivo 
 https://t.co/7HESQiixCa",bolsonaro,"vc sabia? ex-esposa de bolsonaro, rogéria bolsonaro, mãe dos três filhos mais velhos, eduardo, flávio e carlos, ainda quando era casada com jair bolsonaro e vereadora, comprou um imóvel avaliado em r$600 mil em dinheiro vivo  "
2022-07-31 00:00:26+00:00,1553530991511314432,"Vc sabia? Bolsonaro só age para retirar de Doria protagonismo no processo de vacinação...  
 https://t.co/zX2PA6b6yC",bolsonaro,vc sabia? bolsonaro só age para retirar de doria protagonismo no processo de vacinação...   
2022-07-31 00:00:26+00:00,1553530991507120128,"Vc sabia? Pedro Bial chamou Bolsonaro de ‘desgovernante’ e ‘acéfalo’ 
 https://t.co/i3pWIG78CH",bolsonaro,vc sabia? pedro bial chamou bolsonaro de ‘desgovernante’ e ‘acéfalo’  
2022-07-31 00:00:26+00:00,1553530991498731520,"Vc sabia? Deputado Arthur Lira (líder do centrão) é investigado por desvio milionário de dinheiro entre 2001 e 2007. Esse é o candidato do bolsonaro para presidência da câmara dos deputados 
 https://t.co/KF3E3bl4Ii",bolsonaro,vc sabia? deputado arthur lira (líder do centrão) é investigado por desvio milionário de dinheiro entre 2001 e 2007. esse é o candidato do bolsonaro para presidência da câmara dos deputados  
